,English,Meaning
3305,regulate,"bring into conformity with rules, principles, or usage"
3306,adolescent,a person who is older than 12 but younger than 20
3307,shine,"emit light; be bright, as of the sun or a light"
3308,norm,a standard or model or pattern regarded as typical
3309,upset,cause to lose one's composure
3310,remark,make or write a comment on
3311,resign,accept as inevitable
3312,reward,compensation for worthy acts or retribution for wrongdoing
3313,gentle,soft and mild; not harsh or stern or severe
3314,related,connected logically or causally or by shared characteristics
3315,organ,a structure in an animal specialized for some function
3316,lightly,with little weight or force
3317,invent,come up with after a mental effort
3318,laughter,the activity of laughing
3319,fit,meeting adequate standards for a purpose
3320,northwest,the direction corresponding to the northwestward compass point
3321,counseling,something that provides direction or advice
3322,tight,closely constrained or constricted or constricting
3323,receiver,a person who receives something
3324,ritual,the prescribed procedure for conducting religious ceremonies
3325,insect,small invertebrate with jointed limbs and a segmented body
3326,interrupt,make a break in
3327,salmon,any of various large food and game fishes of northern waters
3328,favor,an act of gracious kindness
3329,trading,buying or selling securities or commodities
3330,concern,something that interests you because it is important
3331,magic,any art that invokes supernatural powers
3332,superior,of high quality or performance
3333,combat,the act of fighting; any contest or struggle
3334,stem,cylinder forming a long narrow part of something
3335,surgeon,a physician who specializes in surgery
3336,acceptable,worthy of approval or satisfactory
3337,physics,the science of matter and energy and their interactions
3338,rape,the crime of forcing someone to submit to sexual intercourse
3339,counsel,something that provides direction or advice
3340,brush,an implement that has hairs or bristles set into a handle
3341,hunt,pursue for food or sport (as of wild animals)
3342,continuous,moving in time or space without interruption
3343,log,a segment of the trunk of a tree when stripped of branches
3344,echo,the repetition of a sound from reflection of the sound waves
3345,pill,a dose of medicine in the form of a small pellet
3346,excited,in an aroused state
3347,sculpture,a three-dimensional work of art
3348,compound,a whole formed by a union of two or more elements or parts
3349,integrate,make into a whole or make part of a whole
3350,flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
3351,bitter,causing a sharp and acrid taste experience
3352,bare,lacking its natural or customary covering
3353,slope,be at an angle
3354,rent,a payment or series of payments made by a lessee to an owner
3355,presidency,the office and function of president
3356,serving,the act of delivering a writ or summons upon someone
3357,subtle,difficult to detect or grasp by the mind or analyze
3358,greatly,to an extraordinary extent or degree
3359,bishop,a senior member of the Christian clergy
3360,drinking,the act of consuming liquids
3361,delay,time during which some action is awaited
3362,cry,"shed tears because of sadness, rage, or pain"
3363,acceptance,the state of being satisfactory
3364,collapse,"break down, literally or metaphorically"
3365,shop,a mercantile establishment for the retail sale of goods or services
3366,pump,a device that moves fluid or gas by pressure or suction
3367,candy,a rich sweet made of flavored sugar often with fruit or nuts
3368,evil,morally bad or wrong
3369,final,an exam administered at the end of an academic term
3370,finance,the commercial activity of providing funds and capital
3371,pleased,experiencing or manifesting pleasure
3372,medal,an award for winning a championship
3373,beg,make a solicitation or entreaty for something
3374,sponsor,an advocate who presents a person
3375,ethical,conforming to accepted standards of social behavior
3376,secondary,being of second rank or importance or value
3377,slam,close violently
3378,export,sell or transfer abroad
3379,experimental,of the nature of or undergoing a trial
3380,melt,reduce or cause to be reduced from a solid to a liquid state
3381,midnight,12 o'clock at night; the middle of the night
3382,net,an open fabric of string or rope or wire woven together
